Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
0,2016,Honda,Honda Brio S MT,Brio,425000,9680,Petrol,Mumbai,7,5
1,2012,Nissan,Nissan Sunny XV Diesel,Sunny,325000,119120,Diesel,Mumbai,11,9
2,2017,Toyota,Toyota Fortuner 2.8 4x2 MT [2016-2020],Fortuner,2650000,64593,Diesel,Thane,1,4
3,2017,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4195000,25000,Diesel,Mumbai,2,4
4,2012,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,475000,23800,Diesel,Mumbai,14,9
5,2012,Hyundai,Hyundai i20 Sportz 1.2 BS-IV,i20,335000,45000,Petrol,Mumbai,14,9
6,2019,Toyota,Toyota Glanza V,Glanza,750000,19500,Petrol,Mumbai,1,2
7,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000,32000,Diesel,Mumbai,2,3
8,2017,Hyundai,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Grand,565000,44329,Petrol,Mumbai,14,4
9,2015,Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,Swift,510000,48286,Petrol,Mumbai,32,6
10,2015,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,465000,24935,Petrol,Mumbai,14,6
11,2016,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1485000,59758,Diesel,Mumbai,1,5
12,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,610000,40119,Petrol,Mumbai,32,4
13,2016,Renault,Renault Pulse RxL Petrol [2015-2017],Pulse,365000,22625,Petrol,Mumbai,15,5
14,2017,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,699000,16540,Petrol,Mumbai,32,4
15,2016,Hyundai,Hyundai Xcent S AT 1.2 (O),Xcent,595000,41280,Petrol,Mumbai,14,5
16,2016,Toyota,Toyota Corolla Altis VL AT Petrol,Corolla,1035000,97679,Petrol,Mumbai,1,5
17,2015,Maruti Suzuki,Maruti Suzuki Swift ZDi,Swift,575000,43000,Diesel,Mumbai,32,6
18,2015,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,480000,14846,Petrol,Mumbai,3,6
19,2017,Honda,Honda WR-V VX MT Petrol,WR-V,749000,28771,Petrol,Mumbai,7,4
20,2018,Honda,Honda WR-V S MT Petrol,WR-V,749000,33443,Petrol,Mumbai,7,3
21,2010,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,265000,24000,Petrol,Mumbai,32,11
22,2013,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Grand,340000,44380,Petrol,Mumbai,14,8
23,2016,Skoda,Skoda Rapid Style 1.5 TDI AT,Rapid,675000,58000,Diesel,Mumbai,27,5
24,2016,Honda,Honda City V Diesel,City,685000,69380,Diesel,Mumbai,7,5
